name,cat,res,correct,t,n_pixels
beard6.jpeg,accept,True,True,0.6822957992553711,1500000
woman5.jpeg,accept,False,False,1.3690011501312256,16679140
dark-background3.jpeg,accept,True,True,3.2732841968536377,7368000
mug10.jpg,accept,False,False,0.2906820774078369,1256400
woman4.jpeg,accept,False,False,1.610353946685791,13500000
florence-pugh.jpg,accept,True,True,0.07282900810241699,151410
beard2.webp,accept,True,True,0.6595211029052734,1500000
bottom-left.jpg,accept,True,True,0.021759033203125,33792
pass12.jpg,accept,True,True,0.47144293785095215,1048576
pass7.jpeg,accept,True,True,0.3034067153930664,696320
hijab.webp,accept,True,True,0.07328104972839355,155904
beard.jpeg,accept,True,True,0.6793186664581299,1546500
pass13.jpg,accept,True,True,0.11987709999084473,252572
pass11.jpg,accept,True,True,0.5485591888427734,1235000
mug9.jpg,accept,True,True,0.12203788757324219,263450
mug8.jpg,accept,True,True,0.11434698104858398,239250
pass10.jpg,accept,True,True,0.3338429927825928,750000
vacation.webp,accept,True,True,0.6607589721679688,1500000
pass8.jpg,accept,True,True,0.5637588500976562,1235000
beard4.webp,accept,True,True,0.6669881343841553,1500000
pass9.jpg,accept,True,True,0.3955800533294678,879101
full-body.webp,accept,True,True,0.23757004737854004,540000
man.webp,accept,True,True,0.42127108573913574,960000
kim-k.jpg,accept,True,True,0.04524993896484375,89500
pass6.jpeg,accept,True,True,1.8777379989624023,4369920
mug.jpg,accept,True,True,0.37398290634155273,831200
mug3.jpg,accept,True,True,0.516730785369873,1157061
man3.jpg,accept,True,True,0.3294811248779297,753600
man2.jpg,accept,True,True,0.051683902740478516,106800
angry.jpg,accept,True,True,0.48227405548095703,1091840
trumpet-guy.jpg,accept,False,False,0.8918981552124023,30105600
top.jpg,accept,False,False,0.05919504165649414,98714
mug2.jpg,accept,True,True,0.14705824851989746,276100
pasfoto-eisen-goed-1146147963.jpg,accept,True,True,0.07095193862915039,134400
pass5.jpg,accept,True,True,0.15578603744506836,321000
bottom-right.jpg,accept,True,True,0.0261538028717041,51037
